position_rank,player_name,position,total_points,last_3_weeks_avg,week_11,week_12,week_13
133,Travis Homer,RB,0.0,0.0,0.0,NULL,NULL
134,Trayveon Williams,RB,0.0,0.0,0.0,NULL,NULL
135,Tyler Goodson,RB,0.0,0.0,NULL,NULL,NULL
136,Ulysses Bentley,RB,0.0,0.0,NULL,NULL,NULL
7,Tucker Kraft,TE,81.0,0.0,NULL,NULL,NULL
14,Dalton Kincaid,TE,64.0,0.0,NULL,NULL,NULL
17,Sam LaPorta,TE,62.0,0.0,NULL,NULL,NULL
23,Jake Tonges,TE,44.0,0.0,NULL,NULL,NULL
24,David Njoku,TE,43.0,0.0,0.0,NULL,0.0
41,Daniel Bellinger,TE,23.0,0.0,NULL,NULL,NULL
50,Elijah Arroyo,TE,19.0,0.0,NULL,0.0,NULL
51,Terrance Ferguson,TE,19.0,0.0,NULL,NULL,NULL
54,Hunter Long,TE,17.0,0.0,NULL,NULL,NULL
56,Josh Oliver,TE,16.0,0.0,0.0,0.0,NULL
57,Luke Farrell,TE,16.0,0.0,NULL,0.0,NULL
62,Nate Adkins,TE,10.0,0.0,NULL,NULL,NULL
67,Tyler Conklin,TE,9.0,0.0,NULL,NULL,NULL
68,Ben Sinnott,TE,8.0,0.0,NULL,NULL,NULL
69,Jack Stoll,TE,8.0,0.0,NULL,0.0,NULL
71,Connor Heyward,TE,7.0,0.0,0.0,0.0,NULL
76,David Martin-Robinson,TE,6.0,0.0,NULL,NULL,NULL
79,Tanner Conner,TE,6.0,0.0,NULL,NULL,NULL
80,John Bates,TE,4.0,0.0,NULL,NULL,0.0
81,Albert Okwuegbunam,TE,3.0,0.0,NULL,NULL,NULL
84,Luke Schoonmaker,TE,3.0,0.0,NULL,NULL,0.0
85,Mo Alie-Cox,TE,3.0,0.0,NULL,0.0,NULL
86,Brenden Bates,TE,2.0,0.0,NULL,NULL,NULL
88,Grant Calcaterra,TE,2.0,0.0,NULL,0.0,NULL
89,James Mitchell,TE,2.0,0.0,NULL,NULL,NULL
91,Will Dissly,TE,2.0,0.0,NULL,NULL,NULL
93,Eric Saubert,TE,1.0,0.0,NULL,NULL,NULL
95,Tip Reiman,TE,1.0,0.0,NULL,NULL,NULL
96,Tucker Fisk,TE,1.0,0.0,NULL,NULL,NULL
97,Zaire Mitchell-Paden,TE,1.0,0.0,NULL,NULL,NULL
98,Anthony Firkser,TE,0.0,0.0,NULL,NULL,0.0
99,Benjamin Yurosek,TE,0.0,0.0,NULL,NULL,NULL
100,Blake Whiteheart,TE,0.0,0.0,NULL,NULL,NULL
101,Cam Grandy,TE,0.0,0.0,NULL,NULL,NULL
102,Carter Runyon,TE,0.0,0.0,NULL,NULL,NULL
103,Chris Manhertz,TE,0.0,0.0,NULL,NULL,NULL
104,Durham Smythe,TE,0.0,0.0,0.0,0.0,NULL
105,Feleipe Franks,TE,0.0,0.0,NULL,0.0,NULL
106,Harrison Bryant,TE,0.0,0.0,NULL,NULL,NULL
107,Jared Wiley,TE,0.0,0.0,NULL,NULL,0.0
108,Josiah Deguara,TE,0.0,0.0,NULL,0.0,NULL
109,Keleki Latu,TE,0.0,0.0,0.0,NULL,NULL
110,Kylen Granson,TE,0.0,0.0,0.0,NULL,NULL
111,Lucas Krull,TE,0.0,0.0,NULL,NULL,NULL
112,Robert Tonyan,TE,0.0,0.0,0.0,NULL,NULL
113,Ross Dwelley,TE,0.0,0.0,NULL,NULL,0.0
42,Garrett Wilson,WR,62.0,0.0,NULL,NULL,NULL
60,Kendrick Bourne,WR,44.0,0.0,NULL,NULL,NULL
61,Tory Horton,WR,44.0,0.0,NULL,NULL,NULL
71,Luke McCaffrey,WR,38.0,0.0,NULL,NULL,NULL
73,Malik Nabers,WR,38.0,0.0,NULL,NULL,NULL
76,Marvin Mims,WR,35.0,0.0,0.0,NULL,0.0
80,Travis Hunter,WR,34.0,0.0,NULL,NULL,NULL
84,Rashod Bateman,WR,31.0,0.0,NULL,NULL,NULL
86,JuJu Smith-Schuster,WR,30.0,0.0,NULL,0.0,NULL
88,Tyreek Hill,WR,30.0,0.0,NULL,NULL,NULL
96,Dyami Brown,WR,25.0,0.0,NULL,NULL,NULL
103,Tyler Johnson,WR,24.0,0.0,NULL,NULL,NULL
107,Jalen Tolbert,WR,22.0,0.0,NULL,NULL,NULL
108,Chatarius Atwell,WR,21.0,0.0,NULL,NULL,NULL
112,Mike Evans,WR,19.0,0.0,NULL,NULL,NULL
115,Hunter Renfrow,WR,18.0,0.0,NULL,NULL,NULL
119,Elijah Moore,WR,16.0,0.0,NULL,0.0,NULL
122,Zay Jones,WR,15.0,0.0,NULL,NULL,NULL
129,Kameron Johnson,WR,13.0,0.0,NULL,NULL,NULL
137,Jayden Reed,WR,10.0,0.0,NULL,NULL,NULL
142,Josh Reynolds,WR,9.0,0.0,NULL,NULL,NULL
143,Ryan Miller,WR,9.0,0.0,NULL,NULL,NULL
144,Tylan Wallace,WR,9.0,0.0,NULL,NULL,NULL
145,Jamari Thrash,WR,8.0,0.0,NULL,NULL,NULL
148,Malachi Corley,WR,8.0,0.0,0.0,0.0,0.0
149,Adam Thielen,WR,7.0,0.0,0.0,NULL,NULL
150,Casey Washington,WR,7.0,0.0,NULL,NULL,NULL
151,Ray Ray McCloud,WR,7.0,0.0,NULL,NULL,NULL
153,Malik Heath,WR,6.0,0.0,NULL,NULL,NULL
155,Lil'Jordan Humphrey,WR,5.0,0.0,NULL,NULL,NULL
157,Nick Westbrook,WR,5.0,0.0,NULL,NULL,NULL
158,Skyy Moore,WR,5.0,0.0,NULL,NULL,NULL
159,Arian Smith,WR,4.0,0.0,NULL,0.0,NULL
161,Dareke Young,WR,4.0,0.0,NULL,NULL,NULL
162,Isaiah Williams,WR,4.0,0.0,0.0,NULL,NULL
163,Robbie Chosen,WR,4.0,0.0,NULL,NULL,NULL
164,Braxton Berrios,WR,3.0,0.0,NULL,NULL,NULL
165,D'Wayne Eskridge,WR,3.0,0.0,NULL,NULL,NULL
167,Khadarel Hodge,WR,3.0,0.0,NULL,NULL,NULL
168,Nikko Remigio,WR,3.0,0.0,NULL,NULL,NULL
174,Jared Wayne,WR,2.0,0.0,NULL,NULL,NULL
175,Justin Watson,WR,2.0,0.0,NULL,NULL,NULL
176,Marquez Valdes-Scantling,WR,2.0,0.0,NULL,NULL,NULL
177,Noah Brown,WR,2.0,0.0,NULL,NULL,NULL
178,Beaux Collins,WR,1.0,0.0,NULL,NULL,NULL
181,David Moore,WR,1.0,0.0,NULL,NULL,NULL
183,Jake Bobo,WR,1.0,0.0,NULL,NULL,NULL
184,Jordan Watkins,WR,1.0,0.0,NULL,NULL,NULL
186,Tay Martin,WR,1.0,0.0,NULL,NULL,NULL
187,Tim Jones,WR,1.0,0.0,NULL,NULL,NULL
188,Trent Sherfield,WR,1.0,0.0,NULL,NULL,NULL
190,Alex Bachman,WR,0.0,0.0,NULL,NULL,NULL
191,Andre Baccellia,WR,0.0,0.0,0.0,NULL,NULL
192,Anthony Gould,WR,0.0,0.0,NULL,NULL,NULL
193,Bryce Oliver,WR,0.0,0.0,NULL,NULL,NULL
194,Darius Cooper,WR,0.0,0.0,NULL,0.0,NULL
195,Devin Duvernay,WR,0.0,0.0,NULL,NULL,NULL
196,KeAndre Lambert-Smith,WR,0.0,0.0,NULL,NULL,NULL
197,Michael Bandy,WR,0.0,0.0,NULL,NULL,NULL
198,Scott Miller,WR,0.0,0.0,NULL,NULL,NULL
199,Tahj Washington,WR,0.0,0.0,NULL,NULL,NULL
200,Tai Felton,WR,0.0,0.0,NULL,NULL,NULL
201,Derius Davis,WR,-1.0,0.0,NULL,NULL,NULL
203,Ke'Shawn Williams,WR,-1.0,0.0,NULL,NULL,NULL
202,Jamal Agnew,WR,-1.0,-0.33,NULL,NULL,-1.0
204,LaJohntay Wester,WR,-1.0,-0.33,-1.0,NULL,NULL
205,Mecole Hardman,WR,-1.0,-0.33,-1.0,NULL,NULL
206,Xavier Gipson,WR,-2.0,-0.33,NULL,-1.0,NULL
207,Myles Price,WR,-3.0,-0.33,NULL,-1.0,NULL
72,Max Brosmer,QB,-2.0,-1.0,NULL,NULL,-3.0
